Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-12-15 17:48:30,false,"Reading - Hill Repeats","3.55","262","00:25:46","148","180","3.2","150","176","7:16","5:09","8","7","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.68","22","0.0","00:25:14","00:26:05","38","46"
Running,2021-12-14 18:05:51,false,"Reading - Easy Run","6.44","496","00:45:58","162","185","4.1","157","171","7:08","4:44","10","14","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:36.66","7","0.0","00:45:56","00:45:58","37","44"
Running,2021-12-13 18:19:53,false,"Reading - Tired Run","3.22","217","00:21:18","153","176","3.1","156","174","6:37","4:41","9","12","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:05.44","4","0.0","00:21:17","00:21:18","37","51"
Running,2021-12-11 12:52:05,false,"Reading - Negative Split Run","7.03","535","00:51:24","163","181","3.8","157","163","7:19","6:19","20","23","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.90","9","0.0","00:51:20","00:51:24","35","49"
Running,2021-12-09 18:15:31,false,"Reading - Cadence Drills","3.22","233","00:21:27","160","180","3.3","159","171","6:40","5:49","--","3","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:54.77","4","0.0","00:21:25","00:21:27","38","43"
Running,2021-12-07 18:09:37,false,"Reading - Easy Run","6.44","495","00:47:01","163","188","3.8","154","162","7:18","6:21","5","9","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:10.30","7","0.0","00:46:52","00:47:01","34","48"
Running,2021-12-06 18:02:34,false,"Reading - Tired Run","3.22","230","00:22:12","152","180","3.1","154","163","6:54","5:35","10","9","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:11.18","4","0.0","00:22:06","00:22:12","37","45"
Running,2021-12-04 12:27:12,false,"Reading - Negative Split Run","10.46","812","01:16:28","167","188","4.8","157","169","7:19","5:46","23","25","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:29.10","12","0.0","01:16:19","01:16:38","34","44"
Running,2021-12-02 18:09:48,false,"Reading - Pace Run","3.22","218","00:20:15","147","192","3.3","155","165","6:18","5:00","6","5","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:24.94","4","0.0","00:20:14","00:20:15","39","45"
Running,2021-11-30 17:43:43,false,"Reading - Easy Run","6.44","464","00:46:59","157","175","3.6","155","161","7:18","6:17","6","10","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:57.35","7","0.0","00:46:58","00:46:59","34","43"
Running,2021-11-29 18:58:12,false,"Reading - Tired Run","4.02","287","00:26:41","153","178","3.5","154","179","6:38","5:30","12","9","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:22.86","6","0.0","00:26:34","00:27:05","38","46"
Running,2021-11-27 12:30:11,false,"Reading - Negative Split Run","10.46","767","01:19:19","156","175","3.9","157","165","7:35","6:24","24","26","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:35.90","12","0.0","01:19:14","01:19:19","34","44"
Running,2021-11-25 18:12:50,false,"Reading - Cadence Drills","3.22","223","00:20:22","163","189","3.4","160","169","6:20","5:13","14","5","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:43.26","4","0.0","00:20:20","00:20:22","38","53"
Running,2021-11-23 17:57:23,false,"Reading - Easy Run","4.83","355","00:33:21","160","185","3.6","157","167","6:54","5:18","3","4","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:26.25","5","0.0","00:33:13","00:33:21","36","44"
